,Unnamed: 0,Index,Name,Description,Employees,Funding,City,Subcountry,Latitude,Longitude,PPDesc,Dist1,Dist2,DistFromOrigin,Labels
5425,5425,5429,setter ,"setter is a home service that takes care of your home maintenance and repairs. it s like having the best home expert at your fingertips 24/7. we understand that taking care of a home is stressful, complicated, and time consuming. that   s why we   ve made it our mission to make home maintenance    invisible   . there was a time when having fresh water meant journeying for days to a water well in order to meet your basic needs. today, you can stand 50 stories high in the sky and turn a tap to fill your glass in seconds. it   s become easy, reliable and something you likely don   t think twice about. we believe that home maintenance should be more like tap water. it is an integral part of your life, but runs so invisibly in the background that you never have to worry about it. we re passionate, overachieving team players who believe in  gumption     being relentlessly resourceful. focus     doing a few things  really  well. nurture     care for and encourage personal and intellectual growth. ",10.0,,toronto,ontario,43.70011,79.4163,setter home service takes care home maintenance repairs like best home expert fingertips 24/7 understand taking care home stressful complicated time consuming made mission make home maintenance invisible time fresh water water meant journeying days water water well order meet basic needs today stand 50 stories high sky turn tap fill glass seconds become easy reliable something likely think twice believe home maintenance like tap water water integral part life runs invisibly background never worry passionate overachieving team players believe gumption relentlessly resourceful focus things really well nurture care encourage personal intellectual growth,0.7414149045944214,0.749302327632904,1.1111500389508429,Target
5431,5431,5435,inertia environmental ,"64164   393 loop east okotoks, ab t1s 0l1 calgary hydrovac excavation company providing excavating and hydrovacing services using powerful water jetting and suction hydrovac trucks for industrial applications and more. call  587  757 1000 for more info  ",0.0,,okotoks,alberta,50.72885,113.98281,64164 393 loop east okotoks ab t1s 0l1 calgary hydrovac excavation company providing excavating hydrovacing services using powerful water water jetting suction hydrovac trucks industrial applications call 587 757 1000 info,0.7995368838310242,0.8082180619239807,1.2924756642263802,Target
5440,5440,5444,emagin ,"emagin provides water utilities with an operational intelligence platform that enables smarter management of their critical processes in real time. the platform leverages artificial intelligence to create real time actionable insights and recommendations with the objective of reducing energy costs and resource wastage, as well as enhancing public safety and emergency preparedness. ",10.0,,kitchener,ontario,43.42537,80.5112,emagin provides water water utilities operational intelligence platform enables smarter management critical processes real time platform leverages artificial intelligence create real time actionable insights recommendations objective reducing energy costs resource wastage well enhancing public safety emergency preparedness,0.7517629265785217,0.8115168809890747,1.22370714590814,Target
5498,5498,5502,magic pools ,"do you own a swimming pool and worry about its time to time cleaning  magic pools comes forth providing efficient pool cleaning and maintenance services for algae control. scrubbing green slime off the pool   s surface on a hot, sunny day can be very exhausting. this is where magic pools comes to the rescue by offering pool cleaning chemical known as algi bloc under affordable price range. with the usage of this chemical, the pool becomes crystal clear and the water is safe to use and swim. without any filter running, you can use the products for an effective swimming pool cleaning and get desired results. with a 6 months guarantee, the products are safe to use and maintain the ph level of the water for swimming sessions. also get free shipping when you spend over  60. contact us  magic pools factory 4, 1625 main road research, vic 3095 australia web  http //www.magicpools.com/ email  charles magicpools.com phone   03  9437 2712 ",0.0,,victoria,british columbia,48.43294,123.3693,swimming pool worry time time cleaning magic pools comes forth providing efficient pool cleaning maintenance services algae control scrubbing green slime pool surface hot sunny day exhausting magic pools comes rescue offering pool cleaning chemical known algi bloc affordable price range usage chemical pool becomes crystal clear water water safe use swim without filter running use products effective swimming pool cleaning get desired results 6 months guarantee products safe use maintain ph level water water swimming sessions also get free shipping spend 60. contact us magic pools factory 4 1625 main road research vic 3095 australia web http //www.magicpools.com/ email charles magicpools.com phone 03 9437 2712,0.7644014954566956,0.8345638513565063,1.2808064682474374,Target
5519,5519,5523,sanzfield technologies ,"sanzfield allows homeowners and small communities to recycle their wastewater. water consumption is reduced by 90  . creates sustainable, reliable sources of clean water in any setting. it consumes very low amounts of power, uses no filters, requires no chemicals and creates no toxic byproduct. the technology is scalable and configurable to apply to many global market applications from sterilizing harvested rainwater to on site blackwater recycling. current clients   target markets range from recreational property owners to developers of multi family properties and from water based charities to local governments. depending on the application purchased clients derive the following value  1. avoid the costly investment of relaying a failed septic field. 2. lower water   sewage costs by reducing consumption and discharge by 90  . 3. access to clean water that contains no chemicals or associated toxic byproducts. 4. massively increased access to potable water in remote areas. ",1.0,,toronto,ontario,43.70011,79.4163,sanzfield allows homeowners small communities recycle wastewater wastewater water water consumption reduced 90 creates sustainable reliable sources clean water water setting consumes low amounts power uses filters requires chemicals creates toxic byproduct technology scalable configurable apply many global market applications sterilizing harvested rainwater site blackwater recycling current clients target markets range recreational property owners developers multi family properties water water based charities local governments depending application purchased clients derive following value 1. avoid costly investment relaying failed septic field 2. lower water water sewage costs reducing consumption discharge 90 3. access clean water water contains chemicals associated toxic byproducts 4. massively increased access potable water water remote areas,0.4901287853717804,0.7331139445304871,0.7776822819150668,Target
5550,5550,5554,building up ,"building up is a non profit social enterprise that provides training and employment in the trades to persons with barriers to employment. our experienced tradespeople and trainees collaborate to complete water efficient retrofits in low income housing buildings. our program provides meaningful skills to marginalized community members, generates cash flow for low income housing providers and reduces water and energy waste. ",0.0,,toronto,ontario,43.70011,79.4163,building non profit social enterprise provides training employment trades persons barriers employment experienced tradespeople trainees collaborate complete water water efficient retrofits low income housing buildings program provides meaningful skills marginalized community members generates cash flow low income housing providers reduces water water energy waste,0.7410666942596436,0.7841090559959412,1.164006857035762,Target
5758,5758,5762,clean wave products international ,"water is our future  without water we do not survive. we are currently at the cusp of a water revolution. we are starting to see the signs of the future issues with the stress we have put on water around the globe. with long droughts showing up all over the planet, water shortages, water borne diseases appearing in tap and bottled water, and huge amounts of bottles now in the oceans and land fill sites. the general public is now starting to take notice that we have a serious issue facing the planet, but the problem is so large and new most people don t know how to fix the problem. the solution is the certified konia atmospheric water generator system, we collect the moisture and purify it using a very cost effective method. the systems are modular and range from a small household unit that can make 23 litres per day to large commercial systems that make over 500,000 litres per day.these units can reduce the cost of pure clean water to less than  0.02 per gallon. ",0.0,,calgary,alberta,51.05011,114.08529,"water water future without water water survive currently cusp water water revolution starting see signs future issues stress put water water around globe long droughts showing planet water water shortages water water borne diseases appearing tap bottled water water huge amounts bottles oceans land fill sites general public starting take notice serious issue facing planet problem large new people know fix problem solution certified konia atmospheric water water generator system collect moisture purify using cost effective method systems modular range small household unit make 23 litres per day large commercial systems make 500,000 litres per day.these units reduce cost pure clean water water less 0.02 per gallon",0.7193382978439331,0.7498301267623901,1.079692805745509,Target
6024,6024,6028,red e tech ,"rede tech is an early stage technology start up dedicated to developing smarter, connected devices for around the home. drawing on our own day to day experiences and wants, we have set out to develop solutions to the little everyday problems that have plagued us. our first product, the connected kettle, is an electric hot water kettle that leverages 21st century technology, while paying respect to the classic stove top kettle aesthetic. born from the desire of having hot water ready the moment you step out of bed and into the kitchen, the kettle can be set to heat water at specific times, and to custom temperatures, enhancing each specific beverage s flavor profile. monitor and control it with your phone, so even if you are coming in from a cold canadian winter, you can have a nice hot kettle waiting for you once you step in the door. ",0.0,,toronto,ontario,43.70011,79.4163,rede tech early stage technology start dedicated developing smarter connected devices around home drawing day day experiences wants set develop solutions little everyday problems plagued us first product connected kettle electric hot water water kettle leverages 21st century technology paying respect classic stove top kettle aesthetic born desire hot water water ready moment step bed kitchen kettle set heat water water specific times custom temperatures enhancing specific beverage flavor profile monitor control phone even coming cold canadian winter nice hot kettle waiting step door,0.7591221332550049,0.8112100958824158,1.2343282328591876,Target
6088,6088,6092,vaqua  ,"a health concious alcohol beverage with a new inovative lid that allows consumers to mix a fresh flavor infused vodka water beverage in seconds. the revolutionary vaqua drop shot lid  patent pending  keeps the vodka and flavouring separate from the water which allows you to mix a fresh drink in seconds with a push and twist of the lid. keeping the water, vodka and flavouring separate guarantees your vaqua drink will be the freshest possible. with four unique flavors all of which contain no sugar, no carbs, no aspartame and only 95 calories, it s the perfect choice for those looking for something on the lighter, healthier side. ",0.0,,calgary,alberta,51.05011,114.08529,health concious alcohol beverage new inovative lid allows consumers mix fresh flavor infused vodka water water beverage seconds revolutionary vaqua drop shot lid patent pending keeps vodka flavouring separate water water allows mix fresh drink seconds push twist lid keeping water water vodka flavouring separate guarantees vaqua drink freshest possible four unique flavors contain sugar carbs aspartame 95 calories perfect choice looking something lighter healthier side,0.7873914241790771,0.8027788400650024,1.2644391209268662,Target
6239,6239,6243,ubios.ai ,"ubios.ai helps residential multi tenant buildings prevent water leaks   lower their energy costs. the solution integrates iot with ai to automate a building   s water security and energy usage. water damage is now the  1 reason for home insurance claims. each year it costs insurers billions of  , settlement costs have increased 130  over the last decade, while deductibles have risen 600 . while applicable to all homeowners, multi tenant buildings urgently need a working solution for them, water damage to one results in damage to many, multiplying costs and insurance claims. ubios    smart water valve is always shut off it only opens, automatically, when tenant needs water. if there is no water, there is no water leak  the ai based solution requires no app and addresses the landlord   s need for continuous monitoring and scalable management. additionally, ubios    holistic multi sensor infrastructure enables delivery of value added apps, and building risk level for insurers. ",1.0,,montreal,quebec,45.50884,73.58781,ubios.ai helps residential multi tenant buildings prevent water water leaks lower energy costs solution integrates iot ai automate building water water security energy usage water water damage 1 reason home insurance claims year costs insurers billions settlement costs increased 130 last decade deductibles risen 600 applicable homeowners multi tenant buildings urgently need working solution water water damage one results damage many multiplying costs insurance claims ubios smart water water valve always shut opens automatically tenant needs water water water water water water leak ai based solution requires app addresses landlord need continuous monitoring scalable management additionally ubios holistic multi sensor infrastructure enables delivery value added apps building risk level insurers,0.6494638323783875,0.6875454783439636,0.8945220543588519,Target
6502,6502,6506,fredsense technologies ,"we are fredsense technologies, a calgary based start up company looking to develop next generation biosensors for detecting chemicals in water. our product, the field ready electrochemical detector  fred  allows you to monitor water for select contaminants remotely and easily. using a combination of synthetic biology and electrical engineering, fred allows users to monitor water sources for specific contaminants and can quantitate levels of these down to low parts per billion levels. the system is designed to be remote, meaning you leave fred on site at a water monitoring location and you don t need to send someone to take a sample. the data can be sent wirelessly to you allowing you to make better decisions and detect potential problems before they occur. our first customers are mining companies who need to detect heavy metals in water sources surrounding their mines in remote locations, and an on site solution provides them large savings in both cost and time. ",10.0,,calgary,alberta,51.05011,114.08529,fredsense technologies calgary based start company looking develop next generation biosensors detecting chemicals water water product field ready electrochemical detector fred allows monitor water water select contaminants remotely easily using combination synthetic biology electrical engineering fred allows users monitor water water sources specific contaminants quantitate levels low parts per billion levels system designed remote meaning leave fred site water water monitoring location need send someone take sample data sent wirelessly allowing make better decisions detect potential problems occur first customers mining companies need detect heavy metals water water sources surrounding mines remote locations site solution provides large savings cost time,0.6225239634513855,0.7492123246192932,0.9488551924326671,Target
6510,6510,6514,upcitiesx ,"our challenge will help cities meet climate induced repair or replace resource needs by synthesizing specialized durable materials from gasified municipal solid waste  msw , captured emissions, algae from waste water treatment, select seasonal biomass, and other bottom cycle or light industrial inputs. extending the vision, this five year worldwide challenge includes working to infuse the brain with the physical means to accelerate foss based big data structs to seed a mutable materials platform and economy using bottom cycle inputs from the wef nexus. ",0.0,,kingston,ontario,44.22976,76.48098,challenge help cities meet climate induced repair replace resource needs synthesizing specialized durable materials gasified municipal solid waste msw captured emissions algae waste water water treatment select seasonal biomass bottom cycle light industrial inputs extending vision five year worldwide challenge includes working infuse brain physical means accelerate foss based big data structs seed mutable materials platform economy using bottom cycle inputs wef nexus,0.6692734360694885,0.7528529763221741,1.0147145361854157,Target
6568,6568,6572,bdc ice venture fund ,"the bdc capital industrial, clean and energy technology venture fund tailors its investments towards capital efficient and scalable businesses with the potential to reach and operate across a global market. we invest in early and development stage companies as well as use our experience in canadian materials, electronics and ict to build global companies to be commercial successes. active in the industry since 2001, we have successfully strengthened our expertise in smart grid, energy storage, green it, building energy management, energy efficient lighting and water treatment technology sectors. ",0.0,,montreal,quebec,45.50884,73.58781,bdc capital industrial clean energy technology venture fund tailors investments towards capital efficient scalable businesses potential reach operate across global market invest early development stage companies well use experience canadian materials electronics ict build global companies commercial successes active industry since 2001 successfully strengthened expertise smart grid energy storage green building energy management energy efficient lighting water water treatment technology sectors,0.7528529763221741,0.8450777530670166,1.2809440126859535,Target
6819,6819,6823,impaper ,"we venture to bring originally designed art prints, greeting cards, paper products and home decor products that make a difference. we bring forth a line of interior decor in hopes that our products will not only add that special touch to your business, office, desk space or room, but also reach out to our customers whether it be an inspiration, amusement or kindred ship. impaper, which stands for impact paper was designed to change lives. we are a paper goods social enterprise and every product purchased contributes to a variety of causes ranging from tree planting, to giving vaccinations for diseases, to creating scholarships. since may 31, 2015 we ve given over 1500 meals, 5000 water purification tablets, 300 tetanus vaccines and more  impaper offers original prints, cards and home decor products in various styles, materials and sizes. ",1.0,,calgary,alberta,51.05011,114.08529,venture bring originally designed art prints greeting cards paper products home decor products make difference bring forth line interior decor hopes products add special touch business office desk space room also reach customers whether inspiration amusement kindred ship impaper stands impact paper designed change lives paper goods social enterprise every product purchased contributes variety causes ranging tree planting giving vaccinations diseases creating scholarships since may 31 2015 given 1500 meals 5000 water water purification tablets 300 tetanus vaccines impaper offers original prints cards home decor products various styles materials sizes,0.771470844745636,0.8010281324386597,1.236813333250712,Target
6874,6874,6878,lobal smart cities,we have signed an agreement with the ministry of housing in china to develop smart cities. it includes over 100 technologies and partnerships with innovative companies. our first projects are in chongqing and our first technology is development of entrtainment parks. with us you get direct partnership with china government and direct access to the best and most innovative pechnology. our company is currently listed on the bermuda stock exchnage with a movement to hong kong in the near future. we also own our own technology for biomass which is waste to energy and water purification technology. we are currently the only listed company for smart cities globally.,0.0,,milton,ontario,43.51681,79.88294,signed agreement ministry housing china develop smart cities includes 100 technologies partnerships innovative companies first projects chongqing first technology development entrtainment parks us get direct partnership china government direct access best innovative pechnology company currently listed bermuda stock exchnage movement hong kong near future also technology biomass waste energy water water purification technology currently listed company smart cities globally,0.7874330282211304,0.8010281324386597,1.2616968428916664,Target
6993,6993,6997,bamboo water ,"what is bamboo water  simply put, it   s water infused with an extract of nutritious bamboo leaves. bamboo leaves have antioxidant properties. antioxidants help to keep the balance of free radicals and ward off any excess amount that can cause a large variety of problems. it is also great for healthy skin. home remedies for you. whether you are an athlete or dancer who wants to maximize performance, a yogi who wants to stay zen, or a student who needs a clear mind, bamboo water is the new and natural way to keep you hydrated. this multi functional drink allows you to be healthy and support environmental sustainability. bamboo water is the strong, smart, and sustainable choice for you, our planet, and our future generations. what does bamboo water taste like  here are words that have been used by testers to describe the taste  clean fresh bright energizing different delicious sweet cool and of course they said,    fantastic   ,    amazing.. ",0.0,,toronto,ontario,43.70011,79.4163,bamboo water water simply put water water infused extract nutritious bamboo leaves bamboo leaves antioxidant properties antioxidants help keep balance free radicals ward excess amount cause large variety problems also great healthy skin home remedies whether athlete dancer wants maximize performance yogi wants stay zen student needs clear mind bamboo water water new natural way keep hydrated multi functional drink allows healthy support environmental sustainability bamboo water water strong smart sustainable choice planet future generations bamboo water water taste like words used testers describe taste clean fresh bright energizing different delicious sweet cool course said fantastic amazing ..,0.7758855819702148,0.784293532371521,1.217114781229057,Target
7105,7105,7109,symmetry applied high technologies ,"the product at its very core is a scaled down, high powered hover craft. it uses two chambers and fans embedded in between said chambers, to pump air from above the board to the surface below. the air comes through larger intakes on the top of the board and is pushed through the bottom, through smaller perforations.this creates an air cushion as a result of the coanda effect, the board is able to rest on the air cushion and subsequently hover above the ground several inches while a user is standing on it. the hover board is also equipped with a propulsor unit that is operated by a foot pedal. this product is helpful to a wide range of customers as it will prove versatile as an all purpose transportation vehicle. it can be used to get to school in an urban environment for example, or be taken to ski hills for high speed down hill racing. and also, can replace surf boards or jet skis as it can be taken over bodies of water as well. ",0.0,,edmonton,alberta,53.55014,113.46871000000002,product core scaled high powered hover craft uses two chambers fans embedded said chambers pump air board surface air comes larger intakes top board pushed bottom smaller perforations.this creates air cushion result coanda effect board able rest air cushion subsequently hover ground several inches user standing hover board also equipped propulsor unit operated foot pedal product helpful wide range customers prove versatile purpose transportation vehicle used get school urban environment example taken ski hills high speed hill racing also replace surf boards jet skis taken bodies water water well,0.7414149045944214,0.8386638760566711,1.2530531577571544,Target
7834,7836,7840,first nevada mining ,"first nevada mining corp.,  fnmc  has developed a unique, patent pending mining/extraction process and an innovative new business model for the mining sector. the model is to seek out advanced stage mineral deposits on which to employ its portable environmentally friendly processing technologies. the patent pending technologies allow operators to process material and recycle most of the process water used at a typical mine site, minimize environmental discharge and significantly reduce or eliminate the necessity for tailings ponds. lower capital costs, accelerated permitting, lower environmental impact, water conservation, reduced exploration risk, reduced investment risk and maximum return to investors are key parameters for the design of fnmc   s portable mineral processing plants and its unique business model. there are hundreds of mineral deposits and economic tailings opportunities across north america that could benefit from this unique technology and business model ",0.0,,vancouver,british columbia,49.24966,123.11934,first nevada mining corp. fnmc developed unique patent pending mining/extraction process innovative new business model mining sector model seek advanced stage mineral deposits employ portable environmentally friendly processing technologies patent pending technologies allow operators process material recycle process water water used typical mine site minimize environmental discharge significantly reduce eliminate necessity tailings ponds lower capital costs accelerated permitting lower environmental impact water water conservation reduced exploration risk reduced investment risk maximum return investors key parameters design fnmc portable mineral processing plants unique business model hundreds mineral deposits economic tailings opportunities across north america could benefit unique technology business model,0.7079579830169678,0.7610514163970947,1.0804037641174773,Target
7846,7848,7852,veravenir ,"our inflatable grow bed systems form a channel structure for growing plants in indoor spaces, challenging outdoor environments, rooftops and greenhouses. using air circulation, our grow beds form a barrier with the environment, reduce water consumption and give the user an affordable way to recycle nutrients and control the climate of their crops. manufactured with recyclable, food grade polyethylene film. our grow beds do not leach harmful toxins into the growth environment. we use approximately 70  less plastic than competing hydroponic systems, we don t use harmful pvc resins and we can sell our systems for a fraction of the cost on a per/plant basis. the patented inflatable design has many inherent advantages. our units can be rolled up and stored for easy shipping, deployment and storage. the air flow can be used to channel air around the growing environment   easily controlling the temperature, humidity and co2 from a single location. ",0.0,,montreal,quebec,45.50884,73.58781,inflatable grow bed systems form channel structure growing plants indoor spaces challenging outdoor environments rooftops greenhouses using air circulation grow beds form barrier environment reduce water water consumption give user affordable way recycle nutrients control climate crops manufactured recyclable food grade polyethylene film grow beds leach harmful toxins growth environment use approximately 70 less plastic competing hydroponic systems use harmful pvc resins sell systems fraction cost per/plant basis patented inflatable design many inherent advantages units rolled stored easy shipping deployment storage air flow used channel air around growing environment easily controlling temperature humidity co2 single location,0.4901287853717804,0.6517497301101685,0.6650039369486942,Target
7895,7897,7901,green thumb technology ,"if you care about eating local organic food, you are going to love this  green thumb technology has designed an innovative, first of its kind, vertical veggie garden that grows on a wall inside your home, producing organic food year round. it s soilless  clean , convenient, user friendly, and automated. as an artsy and novel wall display it s the talk piece for your dinner guests. we offer small apartment units to large modular units to cover your entire wall, or as a room divider. customize the look of your veggie wall with a variety of choices in wood finishes, or stainless steal to go with you home d  cor. we sell heirloom and organic starter plants, and the nutrient water required for your plants to grow. it s the perfect product for organic food lovers so they can pick fresh food in their homes everyday. no need for space, time, or know how to have your own garden. ",1.0,,vancouver,british columbia,49.24966,123.11934,care eating local organic food going love green thumb technology designed innovative first kind vertical veggie garden grows wall inside home producing organic food year round soilless clean convenient user friendly automated artsy novel wall display talk piece dinner guests offer small apartment units large modular units cover entire wall room divider customize look veggie wall variety choices wood finishes stainless steal go home cor sell heirloom organic starter plants nutrient water water required plants grow perfect product organic food lovers pick fresh food homes everyday need space time know garden,0.7913603186607361,0.8042817711830139,1.2731203214081077,Target
7902,7904,7908,turtle monster development  ,"looking for investors for my development project  turtle monster   luxury resort. http //turtlemonster.ca/ turtle lake lies in the north west of saskatchewan, canada and is fairly long  about 21km  while also narrow  about 5km . south bay lies at the southern most tip of turtle lake. it is the most sheltered part of the lake and provides one of the most spectacular views in saskatchewan. the closest cities are north battleford, sk, and lloydminster, ab which are a 1 to 1.5 hour drive away. saskatoon, sk is a 2.5 hour drive away and edmonton, ab, is a 4.5 hour drive. both the later 2 cities have international airports. turtle lake takes its name from a cree legend about a giant denizen  a person, animal, or plant that lives in or often is found in a particular place or region  in the lake, and people still tell folk stories of a monster of some sort in its waters. thus, where the resort takes its name. the lake is known for its great fishing, clean water and beautiful landscape. ",0.0,,saskatoon,saskatchewan,52.13238,106.66892,looking investors development project turtle monster luxury resort http //turtlemonster.ca/ turtle lake lies north west saskatchewan canada fairly long 21km also narrow 5km south bay lies southern tip turtle lake sheltered part lake provides one spectacular views saskatchewan closest cities north battleford sk lloydminster ab 1 1.5 hour drive away saskatoon sk 2.5 hour drive away edmonton ab 4.5 hour drive later 2 cities international airports turtle lake takes name cree legend giant denizen person animal plant lives often found particular place region lake people still tell folk stories monster sort waters thus resort takes name lake known great fishing clean water water beautiful landscape,0.7830932140350342,0.8114209771156311,1.2716389839710054,Target
8532,8534,8538,hyasynth bio ,"we make strains of yeast that produce cannabinoids. the cannabinoids are a collection of over 100 different compounds, of which the two most popular are thc and cbd. they present an immense market opportunity that is at an intersection of nutritional, pharmaceutical and recreational use products. the industry is developing and growing rapidly as legislation and consumer perspective shifts, and as more research points towards the health benefits of cannabinoids. to make these, and the other variations of cannabinoids, we ve built our platform that is adaptable, efficient and scalable because it is based on engineered yeast. we grow yeast in fermenters, feeding just sugar and water, over the course of few days, after which we extract and purify the end product. ",1.0,,montreal,quebec,45.50884,73.58781,make strains yeast produce cannabinoids cannabinoids collection 100 different compounds two popular thc cbd present immense market opportunity intersection nutritional pharmaceutical recreational use products industry developing growing rapidly legislation consumer perspective shifts research points towards health benefits cannabinoids make variations cannabinoids built platform adaptable efficient scalable based engineered yeast grow yeast fermenters feeding sugar water water course days extract purify end product,0.6819278597831726,0.8685640692710876,1.219429148377209,Target
9164,9167,9171,protec floors ,"water proofing of foundations, parkades, and other concrete and wood structures  25 years of coating and water proofing experience via our parent company, pro bond systems inc. clients include hospitals, high rise complexes, lrt train tunnel, residential condo and apartment complexes, and many more. concrete floors and parkade resurfacing and coatings  complete concrete and other substrate preparation for protective wear or water proofing. this includes     three shot blasting units    fully trained and mobile installation services include     existing coating removal if required    surface preparation    routing and sealing of cracks    urethane or epoxy crack filling    spalled or delaminated concrete repairs    cement over/underlayment resurfacing    membrane installation additional solutions for  balconies, warehouses, commercial buildings, mechanical rooms, designer flooring series, etc    purchase of parent company, pro bond systems inc, included in purchase and valuation  ",1.0,,edmonton,alberta,53.55014,113.46871000000002,water water proofing foundations parkades concrete wood structures 25 years coating water water proofing experience via parent company pro bond systems inc. clients include hospitals high rise complexes lrt train tunnel residential condo apartment complexes many concrete floors parkade resurfacing coatings complete concrete substrate preparation protective wear water water proofing includes three shot blasting units fully trained mobile installation services include existing coating removal required surface preparation routing sealing cracks urethane epoxy crack filling spalled delaminated concrete repairs cement over/underlayment resurfacing membrane installation additional solutions balconies warehouses commercial buildings mechanical rooms designer flooring series etc purchase parent company pro bond systems inc included purchase valuation,0.7692763805389404,0.8285462260246277,1.2782749983147461,Target
9261,9264,9268,the clean swipe razor ,"the clean swipe razor is the easier, faster and more eco friendly way to shave. by swiping the thumb pushed and spring loaded brush bar, you clean out the unwanted hair from between the razor blades of your shaver. this saves tonnes of water as there is less rinsing out the hair. no more using your thumb to clean out the hair and cutting yourself or using an old toothbrush to brush out the hair  most people don t have pressure washers for bathroom faucets so rinsing out hair from your razor with regular pressure uses a tonne of water and time. ",1.0,,vancouver,british columbia,49.24966,123.11934,clean swipe razor easier faster eco friendly way shave swiping thumb pushed spring loaded brush bar clean unwanted hair razor blades shaver saves tonnes water water less rinsing hair using thumb clean hair cutting using old toothbrush brush hair people pressure washers bathroom faucets rinsing hair razor regular pressure uses tonne water water time,0.734846293926239,0.8008672595024109,1.1813874430400304,Target
9267,9270,9274,multi networks ,"new terminal that provided high security levels  3 layers  for any types of alarm system. don t need to change existing alarm system to get home automation control with our terminal. also, it is possible to make free phone calls over internet. insurance company need our terminal to prevent the lost of water damage. our terminal and wireless sensors can detect water link and stop the home entrance water valve. all our features are protected by patent  pending . there are millions of existing cellular back up system using old technologies 2g to be changed by 3g before january 2017  at t . our terminal are in good position for this huge opportunity. our business model are on rmr  recurrent monthly revenue . ",0.0,,montreal,quebec,45.50884,73.58781,new terminal provided high security levels 3 layers types alarm system need change existing alarm system get home automation control terminal also possible make free phone calls internet insurance company need terminal prevent lost water water damage terminal wireless sensors detect water water link stop home entrance water water valve features protected patent pending millions existing cellular back system using old technologies 2g changed 3g january 2017 terminal good position huge opportunity business model rmr recurrent monthly revenue,0.7308759093284607,0.8010900020599365,1.1759247862370934,Target
9397,9400,9404,sealdry ,"sealdry makes superhydrophobic  super water repellent  coatings for a variety of surfaces and industries. these coatings alter the substrate on a nanoscopic level, creating an invisible air barrier that liquids roll off of. we have a textile spray for the consumer market, a solar panel coating for the green energy market and a coating to reduce fingerprints and smudges on touchscreens. our textile spray is launching first. it makes any textile water repellent and stain resistant without affecting its look, feel or breathability. it can be used to waterproof  shoes / boots clothing outdoors/ camping gear car seats and carpets furniture sports equipment our solar panel coating will be marketed to solar panel installers and existing solar farms to increase panel efficiency. our screen coating will be marketed for smartphone and vehicle nav screens to reduce smudges / fingerprints without altering screen clarity. smartphone waterproofing is being developed. ",0.0,,vancouver,british columbia,49.24966,123.11934,sealdry makes superhydrophobic super water water repellent coatings variety surfaces industries coatings alter substrate nanoscopic level creating invisible air barrier liquids roll textile spray consumer market solar panel coating green energy market coating reduce fingerprints smudges touchscreens textile spray launching first makes textile water water repellent stain resistant without affecting look feel breathability used waterproof shoes boots clothing outdoors/ camping gear car seats carpets furniture sports equipment solar panel coating marketed solar panel installers existing solar farms increase panel efficiency screen coating marketed smartphone vehicle nav screens reduce smudges fingerprints without altering screen clarity smartphone waterproofing developed,0.7369475364685059,0.8602303266525269,1.2830878863997128,Target
9406,9409,9413,ofbug ,"ofbug farms organic insects as a sustainable, affordable protein component in poultry feed. protein content in commercial feed usually comes from unreliable soy or fish meal. an insect based feed provides a complete and natural diet for poultry without harmful effects on our environment and fresh water resources. insects can be produced at scale humanely and cheaply in order to present an affordable product that appeals to the ethics of our customers. ",0.0,,vancouver,british columbia,49.24966,123.11934,ofbug farms organic insects sustainable affordable protein component poultry feed protein content commercial feed usually comes unreliable soy fish meal insect based feed provides complete natural diet poultry without harmful effects environment fresh water water resources insects produced scale humanely cheaply order present affordable product appeals ethics customers,1.5302683209483803e-07,0.7447737455368042,0.5546879320409438,Target
9621,9624,9628,reen water international,we have a non clogging spinning membrane technology that cleans grey water. once installed it can reuse rain water or water from bathtubs and sinks to reuse. it saves significantly on water costs and environmental impact. can be installed in individual bathrooms on each floor or as a larger unit for a larger building. with the greening of corporations... and homes..this product is in the fast growing green market. proven as a multi million dollar   400mm  revenue generator in the blood products market. secured large grant from federal government. need capital to leverage grant to create working product. market need and acceptance very high.,1.0,,ottawa,ontario,45.41117,75.69811999999997,non clogging spinning membrane technology cleans grey water water installed reuse rain water water water water bathtubs sinks reuse saves significantly water water costs environmental impact installed individual bathrooms floor larger unit larger building greening corporations ... homes .. product fast growing green market proven multi million dollar 400mm revenue generator blood products market secured large grant federal government need capital leverage grant create working product market need acceptance high,0.6494638323783875,0.7296878695487976,0.9542476565342852,Target
9700,9703,9707,soevolved ,"we believe every dollar you spend is your vote on how you want the world to be. we call this conscious consumption. we believe the conscious consumer can be the single largest force for good in the world. icangowithout exists to empower and assist this force, by providing tools to create sustainable positive impacts on local and international levels. we encourage quick small actions that create tangible results, and in this manner, we greatly increase social incentive. we strive to harness the millions of us who have a rising conscience, so we can do our bit to lift the standards for everybody. our goal is to provide a brighter future, one without extreme poverty, hunger, and preventable disease, one with universal access to clean water, shelter, and primary education. ",1.0,,montreal,quebec,45.50884,73.58781,believe every dollar spend vote want world call conscious consumption believe conscious consumer single largest force good world icangowithout exists empower assist force providing tools create sustainable positive impacts local international levels encourage quick small actions create tangible results manner greatly increase social incentive strive harness millions us rising conscience bit lift standards everybody goal provide brighter future one without extreme poverty hunger preventable disease one universal access clean water water shelter primary education,0.7369543313980103,0.8114209771156311,1.2015056886695739,Target
